,Station ID,Next Station ID,Edge Weight
0,80101,80102,0.9629585706873602
1,80105,80106,0.9629585706873602
2,80105,80154,0.9629585706873602
3,80106,80107,0.9629585706873602
4,80107,80108,0.9629585706873602
5,80108,80109,0.9629585706873602
6,80109,80110,0.9629585706873602
7,80110,80111,0.9629585706873602
8,80111,80112,0.9629585706873602
9,80112,80113,0.9629585706873602
10,80112,80311,0.9629585706873602
11,80113,80114,0.9629585706873602
12,80114,80115,0.9629585706873602
13,80115,80116,0.9629585706873602
14,80116,80117,0.9629585706873602
15,80117,80118,0.9629585706873602
16,80118,80119,0.9629585706873602
17,80119,80120,0.9629585706873602
18,80120,80121,0.9629585706873602
19,80121,80122,0.9629585706873602
20,80122,80123,0.9629585706873602
21,80122,80211,0.9629585706873602
22,80123,80124,0.9629585706873602
23,80124,80125,0.9629585706873602
24,80125,80126,0.9629585706873602
25,80126,80127,0.9629585706873602
26,80127,80128,0.9629585706873602
27,80128,80129,0.9629585706873602
28,80128,80709,0.9629585706873602
29,80129,80130,0.9629585706873602
30,80130,80131,0.9629585706873602
31,80131,80132,0.9629585706873602
32,80132,80133,0.9629585706873602
33,80133,80134,0.9629585706873602
34,80134,80135,0.9629585706873602
35,80135,80136,0.9629585706873602
36,80136,80137,0.9629585706873602
37,80137,80138,0.9629585706873602
38,80138,80139,0.9629585706873602
39,80153,80154,0.9629585706873602
40,80201,80202,1.4413720155837928
41,80202,80203,1.4413720155837928
42,80203,80204,1.4413720155837928
43,80204,80205,1.4413720155837928
44,80205,80206,1.4413720155837928
45,80206,80207,1.4413720155837928
46,80207,80208,1.4413720155837928
47,80208,80209,1.4413720155837928
48,80209,80210,1.4413720155837928
49,80210,80211,1.4413720155837928
50,80211,80212,1.4413720155837928
51,80212,80213,1.4413720155837928
52,80213,80214,1.4413720155837928
53,80214,80215,1.4413720155837928
54,80214,80409,1.4413720155837928
55,80215,80216,1.4413720155837928
56,80301,80302,0.7897701360560254
57,80302,80303,0.7897701360560254
58,80303,80304,0.7897701360560254
59,80304,80305,0.7897701360560254
60,80305,80306,0.7897701360560254
61,80306,80307,0.7897701360560254
62,80307,80308,0.7897701360560254
63,80308,80309,0.7897701360560254
64,80309,80310,0.7897701360560254
65,80310,80311,0.7897701360560254
66,80311,80312,0.7897701360560254
67,80312,80313,0.7897701360560254
68,80313,80314,0.7897701360560254
69,80401,80402,0.9126825618908827
70,80402,80403,0.9126825618908827
71,80403,80404,0.9126825618908827
72,80404,80405,0.9126825618908827
73,80405,80406,0.9126825618908827
74,80406,80407,0.9126825618908827
75,80409,80410,0.9126825618908827
76,80410,80411,0.9126825618908827
77,80411,80412,0.9126825618908827
78,80412,80413,0.9126825618908827
79,80413,80414,0.9126825618908827
80,80414,80415,0.9126825618908827
81,80415,80416,0.9126825618908827
82,80416,80417,0.9126825618908827
83,80417,80418,0.9126825618908827
84,80418,80419,0.9126825618908827
85,80419,80420,0.9126825618908827
86,80420,80421,0.9126825618908827
87,80421,80422,0.9126825618908827
88,80422,80423,0.9126825618908827
89,80423,80424,0.9126825618908827
90,80424,80425,0.9126825618908827
91,80425,80426,0.9126825618908827
92,80426,80427,0.9126825618908827
93,80701,80702,0.9060389586319172
94,80702,80703,0.9060389586319172
95,80703,80704,0.9060389586319172
96,80704,80705,0.9060389586319172
97,80705,80706,0.9060389586319172
98,80706,80707,0.9060389586319172
99,80707,80708,0.9060389586319172
100,80708,80709,0.9060389586319172
